,ma120,ma120_slope,ma20,ma20_slope,ma5,ma5_slope,ma60,ma60_slope,weighted_avg,날짜,종목명,종목코드,주식_종가,시가총액
31317,45857.083333333336,-0.004116048956449839,53960.0,-0.008895478131949592,57960.0,-0.008971704623878536,57112.5,-0.0029473991391260365,-0.008111245993646063,2021.06.22,피씨엘,241820,58100,580100000000
31497,1460.9166666666667,-0.005390451200730135,1998.25,-0.012761166020267735,2342.0,-0.01067463706233988,1638.4166666666667,-0.008697421290880422,-0.010630011983699018,2021.06.22,코리아에스이,101670,2160,40600000000
31677,56107.083333333336,-0.0016115018157244825,59905.0,-0.0019197062014856857,59540.0,0.0053745381256298285,57888.333333333336,-0.0004318659488094895,0.0029857468556950782,2021.06.22,한국콜마,161890,58600,1336300000000
31857,39358.333333333336,0.0068282871056531864,30615.0,0.00057161522129675,30540.0,0.004256712508185986,31837.5,0.0015181258997513034,0.0033744131198380307,2021.06.22,카페24,042000,29950,566000000000
32037,8250.833333333334,0.00021209978790021208,7135.0,0.005676243868255081,7026.0,0.005408482778252206,7882.5,0.0039750502167247735,0.005058872590582438,2021.06.22,나우코스,257990,6890,27600000000
32197,829.0,0.0,829.0,0.0,829.0,0.0,829.0,0.0,0.0,2021.06.22,스카이문스테크놀로지,033790,829,14200000000
32377,7099.333333333333,0.001584655836228754,6641.0,-0.002484565577473272,6700.0,-0.00029850746268656717,6655.833333333333,0.0002754476023539161,-0.0005841654141940937,2021.06.22,핸즈코퍼레이션,143210,6700,145600000000
32557,10937.666666666666,-0.000342851918446957,10302.5,-0.003348701771414705,10600.0,-0.0018867924528301887,10585.833333333334,-7.872156183584409e-05,-0.001921170200728496,2021.06.22,브이원텍,251630,10550,158800000000
32737,8449.583333333334,-0.0002958725775432713,8765.5,-0.0007415435514231932,8616.0,0.00766016713091922,8705.333333333334,0.00022974421810384438,0.004838980717746075,2021.06.22,코세스,089890,8440,147900000000
32917,25840.416666666668,-0.0011932212135383172,28560.0,-0.0024509803921568627,28160.0,0.002840909090909091,26430.833333333332,-0.0020809029857804962,0.0010886434714045712,2021.06.22,애경산업,018250,27900,738200000000
33097,2083.0833333333335,-0.0004800576069128295,2151.75,-0.000464738003950273,2140.0,-0.0014018691588785046,2116.25,-0.0003544004725339634,-0.0010636054816601204,2021.06.22,DB금융스팩8호,367340,2130,12800000000
33229,27384.166666666668,-0.0008216426767292535,27260.0,0.003301540719002201,26680.0,0.005247376311844078,27941.666666666668,-0.00017894422904861317,0.004012126189757767,2021.06.22,노터스,278650,26500,202300000000
33409,9746.25,-0.0026933435936898806,10925.0,0.0018306636155606408,10700.0,0.0009345794392523365,10766.0,-0.003467706978760351,0.0004921714810656177,2021.06.22,슈프리마에이치큐,094840,10550,110000000000
33589,2107.875,-0.000612781434699171,2185.5,-0.0017158544955387784,2194.0,-0.0031905195989061076,2140.0,-0.0007398753894081705,-0.0025216352490725013,2021.06.22,대신밸런스제9호스팩,369370,2205,9300000000
33711,17895.0,-0.0023516811027288137,20177.5,-0.004708214595465246,19940.0,-0.007021063189568706,20433.333333333332,-0.0027732463295267983,-0.0059002426804018295,2021.06.22,엘이티,297890,20400,145000000000
33891,6073.333333333333,-0.002017014270032931,6606.5,-0.0056762279573147655,6908.0,-0.002026635784597568,6398.5,-0.0022140605871168195,-0.002774815623664701,2021.06.22,휴네시온,290270,6870,64500000000
