종목명,분기,기업코드,유동자산,부채총계,청산가치
와이팜,2021년 1분기 보고서,01015160,72263041050,19262975341,53000065709
쎄노텍,2021년 1분기 보고서,01091054,26890723881,52919515015,-26028791134
대원화성,2021년 1분기 보고서,00112022,49697414427,61380313585,-11682899158
삼천리,2021년 1분기 보고서,00128555,1348674851646,1800423118971,-451748267325
포스코인터내셔널,2021년 1분기 보고서,00124504,5018950641000,5262116342000,-243165701000
와이제이엠게임즈,2021년 1분기 보고서,01035678,8164281336,12714756480,-4550475144
클라우드에어,2021년 1분기 보고서,00232821,66017303118,19069818276,46947484842
케어랩스,2021년 1분기 보고서,01187148,72188653627,8715799000,63472854627
인산가,2021년 1분기 보고서,01243161,27505678308,30920314738,-3414636430
세종메디칼,2021년 1분기 보고서,00959229,18356685965,2448250997,15908434968
동아타이어,2021년 1분기 보고서,01262458,94423366837,26955705595,67467661242
알에스오토메이션,2021년 1분기 보고서,00858124,48418503740,36457474375,11961029365
매커스,2021년 1분기 보고서,00596677,135379264358,94249563327,41129701031
GS,2021년 1분기 보고서,00500254,241726000000,1053922000000,-812196000000
LS,2021년 1분기 보고서,00105952,260992000000,345605000000,-84613000000
인바이오젠,2021년 1분기 보고서,00652423,126218712425,16832959386,109385753039
파버나인,2021년 1분기 보고서,00429694,30086449534,44472076283,-14385626749
삼양옵틱스,2021년 1분기 보고서,00992543,25627778821,15614386067,10013392754
영풍제지,2021년 1분기 보고서,00141404,78450842254,78358794790,92047464
엔비티,2021년 1분기 보고서,01051065,15220293228,848771300,14371521928
코오롱글로벌,2021년 1분기 보고서,00152880,1023980146535,1723803389959,-699823243424
동국S&C,2021년 1분기 보고서,00415594,165243444609,46132189118,119111255491
서울옥션,2021년 1분기 보고서,00410915,86208008728,88245336827,-2037328099
노루페인트,2021년 1분기 보고서,00583442,261817522969,312020183710,-50202660741
LG디스플레이,2021년 1분기 보고서,00105873,7729112000000,17116173000000,-9387061000000
동양철관,2021년 1분기 보고서,00117629,58706269235,50980681201,7725588034
레인보우로보틱스,2021년 1분기 보고서,01261644,30157922858,2169282808,27988640050
민앤지,2021년 1분기 보고서,01013311,46714704633,15925838214,30788866419
이엠네트웍스,2021년 1분기 보고서,00496225,17215304973,45624647960,-28409342987
큐브엔터,2021년 1분기 보고서,00985686,30127057836,17260365477,12866692359
슈펙스비앤피,2021년 1분기 보고서,00353018,36091130700,21013922561,15077208139
테고사이언스,2021년 1분기 보고서,00926522,27672799261,1063184970,26609614291
에스텍,2021년 1분기 보고서,00306719,108570933115,47072839162,61498093953
한일철강,2021년 1분기 보고서,00163196,66939746132,143029422184,-76089676052
클래시스,2021년 1분기 보고서,01061327,91434881324,19251981975,72182899349
앱클론,2021년 1분기 보고서,00991191,20447831416,11305281285,9142550131
크라운해태홀딩스,2021년 1분기 보고서,00153126,6135507394,61061110952,-54925603558
알톤스포츠,2021년 1분기 보고서,00821607,24608057712,5709962995,18898094717
고바이오랩,2021년 1분기 보고서,01399071,54940724746,1155677492,53785047254
신화콘텍,2021년 1분기 보고서,00925189,38950165312,40933979831,-1983814519
화일약품,2021년 1분기 보고서,00188973,98011402472,13395974964,84615427508
지어소프트,2021년 1분기 보고서,00389110,28806532074,37951937905,-9145405831
세아홀딩스,2021년 1분기 보고서,00377610,12172096795,141814435962,-129642339167
에스에이티,2021년 1분기 보고서,00379229,25345689690,5622212316,19723477374
동원산업,2021년 1분기 보고서,00118026,444920273043,897959439123,-453039166080
광동제약,2021년 1분기 보고서,00103592,388001418594,223038397606,164963020988
크라운제과,2021년 1분기 보고서,01205329,104953529060,176527613892,-71574084832
글로벌텍스프리,2021년 1분기 보고서,01042711,24788325682,9344332113,15443993569
케이엠,2021년 1분기 보고서,00242934,68425424919,44306994709,24118430210
티앤알바이오팹,2021년 1분기 보고서,01109937,38281002676,3409874344,34871128332
본느,2021년 1분기 보고서,01098792,22438563449,29810361048,-7371797599
대유,2021년 1분기 보고서,00384948,53282744985,32729060189,20553684796
ITX-AI,2021년 1분기 보고서,00627029,33219102689,25740895361,7478207328
DB하이텍,2021년 1분기 보고서,00160843,486062638366,365828280572,120234357794
코오롱플라스틱,2021년 1분기 보고서,00241005,132129215887,135597223674,-3468007787
